CustomerID,Age,Gender,Annual_Income,Spending_Score
1,56,Male,103,27
2,69,Male,49,98
3,46,Male,94,21
4,32,Male,147,30
5,60,Male,111,97
6,25,Female,148,28
7,38,Male,140,64
8,56,Female,46,97
9,36,Female,140,69
10,40,Female,135,61
11,28,Male,22,48
12,28,Male,122,19
13,41,Male,81,4
14,53,Male,70,35
15,57,Female,78,64
16,41,Male,137,49
17,20,Male,115,17
18,39,Male,132,44
19,19,Male,81,92
20,41,Male,71,30
21,61,Female,31,93
22,47,Male,58,46
23,55,Female,149,6
24,19,Male,132,99
25,38,Female,120,37
26,50,Male,132,24
27,29,Male,100,93
28,39,Female,132,46
29,61,Female,21,53
30,42,Female,149,95
31,66,Male,73,99
32,44,Female,106,60
33,59,Male,148,97
34,45,Male,145,63
35,33,Female,149,85
36,32,Female,72,32
37,64,Male,87,87
38,68,Male,142,33
39,61,Female,57,67
40,69,Female,43,18
41,20,Female,88,25
42,54,Male,135,95
43,68,Male,117,54
44,24,Male,116,58
45,38,Male,143,67
46,26,Male,89,46
47,56,Male,112,24
48,35,Female,22,32
49,21,Male,109,47
50,42,Male,115,86
51,31,Male,71,23
52,67,Female,147,66
53,26,Male,58,27
54,43,Male,101,2
55,19,Female,123,90
56,37,Male,148,17
57,45,Male,30,33
58,64,Male,61,9
59,24,Male,118,43
60,61,Male,26,48
61,25,Female,109,39
62,64,Female,131,93
63,52,Female,79,42
64,31,Male,132,26
65,34,Male,21,99
66,53,Male,148,50
67,67,Female,67,25
68,57,Male,56,24
69,21,Male,28,13
70,19,Female,118,60
71,23,Male,67,7
72,59,Female,73,57
73,21,Female,139,36
74,46,Female,135,45
75,35,Male,94,20
76,43,Male,132,65
77,61,Male,123,8
78,51,Male,103,16
79,27,Male,131,14
80,53,Male,118,76
81,31,Male,112,87
82,48,Female,147,15
83,65,Male,129,92
84,32,Female,101,98
85,25,Male,73,66
86,31,Male,87,32
87,40,Male,52,87
88,57,Female,40,63
89,38,Female,67,86
90,33,Female,147,51
91,62,Female,147,25
92,35,Male,52,58
93,64,Female,134,63
94,41,Male,138,62
95,43,Male,41,22
96,42,Female,57,58
97,62,Female,128,58
98,58,Female,70,86
99,46,Female,27,49
100,32,Female,46,52
